model,ell_over_ell_ext,ell,omega_M,k_static,raw_delta_real,raw_delta_imag,k_unsubtracted_real,k_unsubtracted_imag,window_fit_rms,window_max_residual,maximum_omega_r,source_transform_condition,response_transform_condition,delta_k_real,delta_k_imag,k_metric_real,k_metric_imag
fan_wang,0.2,0.05925925925925926,0.004,0.019852949018660023,-0.00010475243268071265,-0.007603248173077891,0.01974819658597931,-0.007603248173077891,6.846179407807724e-08,9.453325733081268e-08,0.064,80.49840547500114,20.124383255557067,-0.00010475243268071265,-0.007603248173077891,0.01974819658597931,-0.007603248173077891
fan_wang,0.2,0.05925925925925926,0.006,0.019852949018660023,-0.00022091661365381625,-0.011410490988587393,0.019632032405006206,-0.011410490988587393,7.774494204161958e-07,1.0735159239040309e-06,0.096,80.49840547500114,20.124383255557067,-0.00022091661365381625,-0.011410490988587393,0.019632032405006206,-0.011410490988587393
fan_wang,0.3,0.08888888888888888,0.002,0.06700569080061719,-2.0773039395433458e-05,-0.0027346429457801463,0.06698491776122176,-0.0027346429457801463,1.0925599387421674e-09,1.5086261064271292e-09,0.032,65.72665301641753,16.431487008101442,-2.0773039395433458e-05,-0.0027346429457801463,0.06698491776122176,-0.0027346429457801463
fan_wang,0.3,0.08888888888888888,0.004,0.06700569080061719,-8.15882944121621e-05,-0.005470934818334525,0.06692410250620502,-0.005470934818334525,6.789028796652e-08,9.374411157383631e-08,0.064,65.72665301641753,16.431487008101442,-8.15882944121621e-05,-0.005470934818334525,0.06692410250620502,-0.005470934818334525
fan_wang,0.3,0.08888888888888888,0.006,0.06700569080061719,-0.000168923999659558,-0.008210525491620622,0.06683676680095763,-0.008210525491620622,7.71367326900267e-07,1.0651176614980922e-06,0.096,65.72665301641753,16.431487008101442,-0.000168923999659558,-0.008210525491620622,0.06683676680095763,-0.008210525491620622
fan_wang,0.4,0.11851851851851852,0.002,0.1588050205574083,-1.5779491930583405e-05,-0.0018524014036860837,0.15878924106547773,-0.0018524014036860837,1.1003186305352122e-09,1.5193394454195222e-09,0.032,56.92093242359386,14.230082119673577,-1.5779491930583405e-05,-0.0018524014036860837,0.15878924106547773,-0.0018524014036860837
fan_wang,0.4,0.11851851851851852,0.004,0.1588050205574083,-6.162683115588821e-05,-0.0037059513728321574,0.15874339372625243,-0.0037059513728321574,6.741891329396542e-08,9.309322908059834e-08,0.064,56.92093242359386,14.230082119673577,-6.162683115588821e-05,-0.0037059513728321574,0.15874339372625243,-0.0037059513728321574
fan_wang,0.4,0.11851851851851852,0.006,0.1588050205574083,-0.00012413685312938336,-0.005561799171262239,0.15868088370427894,-0.005561799171262239,7.653877200028208e-07,1.056860914429299e-06,0.096,56.92093242359386,14.230082119673577,-0.00012413685312938336,-0.005561799171262239,0.15868088370427894,-0.005561799171262239
fan_wang,0.5,0.14814814814814814,0.001,0.3100723668543024,-2.885841721571342e-06,-0.0005794950267885493,0.3100694810125808,-0.0005794950267885493,5.606211502390136e-11,7.74115609667115e-11,0.016,50.91161142301607,12.727769326921168,-2.885841721571342e-06,-0.0005794950267885493,0.3100694810125808,-0.0005794950267885493
fan_wang,0.5,0.14814814814814814,0.002,0.3100723668543024,-1.1520937769979911e-05,-0.0011590835141810426,0.31006084591653243,-0.0011590835141810426,1.091466037499062e-09,1.5071156282244614e-09,0.032,50.91161142301607,12.727769326921168,-1.1520937769979911e-05,-0.0011590835141810426,0.31006084591653243,-0.0011590835141810426
