model,ell_over_ell_ext,ell_over_M,omega_M,static_response_over_M5,direct_ratio_zero_real,direct_ratio_real,direct_ratio_imag,dynamic_response_over_M5,finite_frequency_correction_over_M5,static_match_residual,dynamic_match_residual,maximum_omega_r
fan_wang,0.4,0.11851851851851852,0.006,0.01336861391978523,0.01336861391978523,0.01383462471771706,0.01064403825015754,0.01383462471771706,0.0004660107979318293,4.586816820459361e-09,2.8722099576532354e-09,0.096
fan_wang,0.5,0.14814814814814814,0.002,0.006652741662515012,0.006652741662515012,0.006683751778553466,0.0017839065762528209,0.006683751778553466,3.1010116038454605e-05,2.7735841297282793e-09,9.15806473601133e-10,0.032
fan_wang,0.5,0.14814814814814814,0.004,0.006652741662515012,0.006652741662515012,0.006776833086086961,0.003569088588932405,0.006776833086086961,0.000124091423571949,2.7735841297282793e-09,1.143583960424682e-09,0.064
fan_wang,0.5,0.14814814814814814,0.006,0.006652741662515012,0.006652741662515012,0.006932013980768115,0.005356822461124605,0.006932013980768115,0.00027927231825310324,2.7735841297282793e-09,2.2406191267004284e-09,0.096
fan_wang,0.6,0.17777777777777776,0.002,-0.00605568391808914,-0.00605568391808914,-0.006039212427753846,0.0007797774686493484,-0.006039212427753846,1.647149033529461e-05,7.16103596559714e-10,2.994834145330834e-10,0.032
fan_wang,0.6,0.17777777777777776,0.004,-0.00605568391808914,-0.00605568391808914,-0.005989781927373818,0.0015601410170543184,-0.005989781927373818,6.590199071532243e-05,7.16103596559714e-10,5.641023617329735e-10,0.064
fan_wang,0.6,0.17777777777777776,0.006,-0.00605568391808914,-0.00605568391808914,-0.0059073644552586,0.002341676935641407,-0.0059073644552586,0.00014831946283054044,7.16103596559714e-10,1.5386849168896004e-09,0.096
fan_wang,0.7,0.20740740740740737,0.002,-0.02296634233857663,-0.02296634233857663,-0.02295986761078577,0.0002736664656125885,-0.02295986761078577,6.474727790858198e-06,6.86248152054203e-10,3.5601643600381776e-10,0.032
fan_wang,0.7,0.20740740740740737,0.004,-0.02296634233857663,-0.02296634233857663,-0.022940446740800473,0.0005475551273475567,-0.022940446740800473,2.5895597776156437e-05,6.86248152054203e-10,1.4983838465102722e-10,0.064
fan_wang,0.7,0.20740740740740737,0.006,-0.02296634233857663,-0.02296634233857663,-0.022908053338925826,0.0008218883075996602,-0.022908053338925826,5.82889996508032e-05,6.86248152054203e-10,9.643008813867359e-10,0.096
fan_wang,0.8,0.23703703703703705,0.002,-0.04072866419753209,-0.04072866419753209,-0.04072912803178953,6.478580175671119e-05,-0.04072912803178953,-4.6383425744006557e-07,1.45438155962907e-09,5.807693677599155e-10,0.032
fan_wang,0.8,0.23703703703703705,0.004,-0.04072866419753209,-0.04072866419753209,-0.04073053674848018,0.00012963168592323608,-0.04073053674848018,-1.8725509480857494e-06,1.45438155962907e-09,4.944668955243802e-10,0.064
fan_wang,0.8,0.23703703703703705,0.006,-0.04072866419753209,-0.04072866419753209,-0.04073286460844767,0.00019459789714405484,-0.04073286460844767,-4.2004109155752145e-06,1.45438155962907e-09,6.804974904577259e-10,0.096
