model,ell_over_ell_ext,omega_M,k_static,metric_ratio_real,metric_ratio_imag,metric_ratio_static_real,metric_ratio_static_imag,delta_real,delta_imag,k_dynamic_real,k_dynamic_imag,window_fit_rms,window_max_residual
fan_wang,0.5,0.004,0.7460815195120083,-2.375037703418939,0.0020026388224261174,-2.3740269300924353,0.0,0.0010107733265036778,-0.0020026388224261174,0.747092292838512,-0.0020026388224261174,5.335328723969531e-08,7.367116360284098e-08
fan_wang,0.5,0.0045,0.7460815195120083,-2.375049895067295,0.002253231747814828,-2.3740269300924353,0.0,0.0010229649748598746,-0.002253231747814828,0.7471044844868682,-0.002253231747814828,1.0719223752792044e-07,1.4801293934143444e-07
fan_wang,0.5,0.005,0.7460815195120083,-2.375064313571568,0.0025039176248873763,-2.3740269300924353,0.0,0.0010373834791326253,-0.0025039176248873763,0.7471189029911409,-0.0025039176248873763,2.0059100283290455e-07,2.7697960803375346e-07
fan_wang,0.5,0.0055,0.7460815195120083,-2.3750814494106764,0.0027547066913541206,-2.3740269300924353,0.0,0.0010545193182411872,-0.0027547066913541206,0.7471360388302495,-0.0027547066913541206,3.5414003345877314e-07,4.890028279991855e-07
fan_wang,0.5,0.006,0.7460815195120083,-2.3751019637196786,0.003005609309076481,-2.3740269300924353,0.0,0.0010750336272433714,-0.003005609309076481,0.7471565531392517,-0.003005609309076481,5.955800476520251e-07,8.223874741222644e-07
fan_wang,0.9,0.0,4.552107999485091,nan,0.0,nan,0.0,0.0,0.0,4.552107999485091,0.0,0.0,0.0
fan_wang,0.9,0.0005,4.552107999485091,-3.8812738153177717,1.629727456475477e-05,-3.8782698575092907,0.0,0.0030039578084810614,-1.629727456475477e-05,4.555111957293572,-1.629727456475477e-05,1.7838325193254787e-10,2.463147524187088e-10
fan_wang,0.9,0.001,4.552107999485091,-3.8812824852978483,3.259570278753139e-05,-3.8782698575092907,0.0,0.003012627788557598,-3.259570278753139e-05,4.555120627273649,-3.259570278753139e-05,1.1492378778974336e-11,1.5868880080772205e-11
fan_wang,0.9,0.0015,4.552107999485091,-3.8812969375166952,4.889655243020531e-05,-3.8782698575092907,0.0,0.0030270800074045923,-4.889655243020531e-05,4.555135079492495,-4.889655243020531e-05,4.2657164268201544e-10,5.890176763516736e-10
fan_wang,0.9,0.002,4.552107999485091,-3.8813171825818378,6.520081341642086e-05,-3.8782698575092907,0.0,0.0030473250725471246,-6.520081341642086e-05,4.555155324557638,-6.520081341642086e-05,1.4304227097818476e-09,1.9751530022696164e-09
fan_wang,0.9,0.0025,4.552107999485091,-3.881343244917491,8.150977861422996e-05,-3.8782698575092907,0.0,0.00307338740820029,-8.150977861422996e-05,4.555181386893291,-8.150977861422996e-05,3.853198051292481e-09,5.3205640873325935e-09
fan_wang,0.9,0.003,4.552107999485091,-3.881375177629372,9.782451127501735e-05,-3.8782698575092907,0.0,0.0031053201200812452,-9.782451127501735e-05,4.555213319605172,-9.782451127501735e-05,1.0997645002205945e-08,1.5185742924572532e-08
fan_wang,0.9,0.0035,4.552107999485091,-3.8814130733217738,0.00011414665897582047,-3.8782698575092907,0.0,0.0031432158124831133,-0.00011414665897582047,4.555251215297574,-0.00011414665897582047,2.5029261564993176e-08,3.4560847494266557e-08
fan_wang,0.9,0.004,4.552107999485091,-3.8814570851721664,0.00013047700590266873,-3.8782698575092907,0.0,0.0031872276628757135,-0.00013047700590266873,4.555295227147966,-0.00013047700590266873,5.3514050782443305e-08,7.389314874878305e-08
