model,ell_over_ell_ext,omega_M,match_radius,response_real,response_imag,delta_real,delta_imag,em_response_real,em_response_imag,grav_source_error,em_source_abs,condition
hayward,0.8,0.006,16.0,0.6142631263445895,0.0036920785569440895,-0.0005562702815493648,0.0036920785569440895,-1.4911262274712174,-0.0007110432404200395,1.1102230246251565e-16,1.3884562417838567e-18,6.427529828884517
hayward,0.9,0.002,10.0,1.0692430432181448,0.0006114737436035966,-8.724185206343549e-05,0.0006114737436035966,-2.121698539236386,-0.00013354217542738134,1.6690311775283582e-15,1.3904866443919908e-17,4.006691962623382
hayward,0.9,0.002,12.0,1.0686567572946046,0.0006114736539837295,-8.79656771246573e-05,0.0006114736539837295,-2.1262899601646263,-0.00013354227480788516,1.0053497077208614e-15,1.769376755963805e-17,4.812390067041324
hayward,0.9,0.002,14.0,1.0684528017329886,0.0006114736644082797,-8.832721140050737e-05,0.0006114736644082797,-2.1283524352753673,-0.0001335429472197891,1.2212453270876722e-15,9.595189226496714e-18,5.618482744988425
hayward,0.9,0.002,16.0,1.0683706723737973,0.0006114736842377511,-8.85072640155471e-05,0.0006114736842377511,-2.1293855948866707,-0.00013354171641788426,1.0235750533041806e-15,1.970058298150069e-17,6.423894488938507
hayward,0.9,0.004,10.0,1.0689813508061667,0.001223953213767004,-0.0003489342640414783,0.001223953213767004,-2.121794318106015,-0.0002673022536678893,2.010699415441723e-15,1.0338082335557324e-17,4.00736176201858
hayward,0.9,0.004,12.0,1.0683930128865597,0.001223953022586599,-0.00035171008516954316,0.001223953022586599,-2.1263881424221527,-0.0002673028093762575,1.0934428697813141e-15,1.3877787807814457e-17,4.8134819769678545
hayward,0.9,0.004,14.0,1.068188451632702,0.0012239529995241583,-0.0003526773116870885,0.0012239529995241583,-2.128452185178244,-0.00026730328017565697,4.002966042486721e-16,2.1537178803976964e-17,5.620142729806099
hayward,0.9,0.004,16.0,1.0681073967475467,0.0012239529940654137,-0.0003517828902661613,0.0012239529940654137,-2.12948652415454,-0.0002673031743012366,1.2412670766236366e-15,3.040718396337909e-17,6.426291238773061
hayward,0.9,0.006,10.0,1.0685454652076594,0.0018384453451716354,-0.0007848198625488578,0.0018384453451716354,-2.1219539811781445,-0.00040149833921088174,8.005932084973442e-16,3.705370968959021e-18,4.008479457297175
